Date,Close,Open,High,Low,Change
1993-01-28,137.52,137.1,137.52,137.1,0.0026
1993-01-29,137.53,137.18,137.53,137.18,0.0001
1993-02-01,137.83,137.46,137.83,137.46,0.0022
1993-02-02,137.81,137.44,137.81,137.44,-0.0001
1993-02-03,137.81,137.46,137.81,137.46,0.0
1993-02-04,137.93,137.56,137.93,137.56,0.0009
1993-02-05,137.88,137.52,137.88,137.52,-0.0004
1993-02-08,137.88,137.52,137.88,137.52,0.0
1993-02-09,137.69,137.33,137.69,137.33,-0.0014000000000000002
1993-02-10,137.83,137.43,137.83,137.43,0.001
1993-02-11,137.66,137.29,137.66,137.29,-0.0012
1993-02-12,137.74,137.38,137.74,137.38,0.0006
1993-02-15,137.87,137.5,137.87,137.5,0.0009
1993-02-16,137.59,137.21,137.59,137.21,-0.002
1993-02-17,137.64,137.29,137.64,137.29,0.0004
1993-02-18,137.78,137.43,137.78,137.43,0.001
1993-02-19,138.37,137.99,138.37,137.99,0.0043
1993-02-22,138.33,137.93,138.33,137.93,-0.0003
1993-02-23,138.53,138.17,138.53,138.17,0.0014000000000000002
1993-02-24,138.56,138.2,138.56,138.2,0.0002
1993-02-25,138.56,138.2,138.56,138.2,0.0
1993-02-26,138.35,137.99,138.35,137.99,-0.0015
1993-03-01,138.35,137.99,138.35,137.99,0.0
1993-03-02,138.49,138.13,138.49,138.13,0.001
1993-03-03,138.56,138.21,138.56,138.21,0.0005
1993-03-04,138.43,138.07,138.43,138.07,-0.0009
1993-03-05,138.28,137.93,138.28,137.93,-0.0011
1993-03-08,138.36,138.0,138.36,138.0,0.0006
1993-03-09,138.19,137.84,138.19,137.84,-0.0012
1993-03-10,138.19,137.84,138.19,137.84,0.0
1993-03-11,138.59,138.19,138.59,138.19,0.0029
1993-03-12,138.29,137.93,138.29,137.93,-0.0022
1993-03-15,137.81,137.46,137.81,137.46,-0.0034999999999999996
1993-03-16,137.86,137.49,137.86,137.49,0.0004
1993-03-17,137.89,137.53,137.89,137.53,0.0002
1993-03-18,137.91,137.55,137.91,137.55,0.0001
1993-03-19,138.33,137.98,138.33,137.98,0.003
1993-03-22,138.46,138.09,138.46,138.09,0.0009
1993-03-23,138.41,138.05,138.41,138.05,-0.0004
1993-03-24,138.67,138.31,138.67,138.31,0.0019
1993-03-25,138.69,138.33,138.69,138.33,0.0001
1993-03-26,138.74,138.37,138.74,138.37,0.0004
1993-03-29,138.88,138.51,138.88,138.51,0.001
1993-03-30,138.81,138.44,138.81,138.44,-0.0005
1993-03-31,138.95,138.59,138.95,138.59,0.001
1993-04-01,139.09,138.72,139.09,138.72,0.001
1993-04-02,139.14,138.79,139.14,138.79,0.0004
1993-04-05,139.14,138.79,139.14,138.79,0.0
1993-04-06,139.16,138.77,139.16,138.77,0.0001
1993-04-07,139.24,138.87,139.24,138.87,0.0006
1993-04-08,139.11,138.75,139.11,138.75,-0.0009
1993-04-09,139.06,138.7,139.06,138.7,-0.0004
1993-04-12,139.16,138.79,139.16,138.79,0.0007000000000000001
1993-04-13,139.52,139.16,139.52,139.16,0.0026
1993-04-14,139.56,139.2,139.56,139.2,0.0003
1993-04-15,139.54,139.18,139.54,139.18,-0.0001
1993-04-16,139.54,139.18,139.54,139.18,0.0
1993-04-19,139.8,139.43,139.8,139.43,0.0019
1993-04-20,139.75,139.39,139.75,139.39,-0.0004
1993-04-21,139.75,139.39,139.75,139.39,0.0
1993-04-22,139.87,139.46,139.87,139.46,0.0009
1993-04-23,139.78,139.43,139.78,139.43,-0.0006
1993-04-26,139.82,139.46,139.82,139.46,0.0003
1993-04-27,139.81,139.45,139.81,139.45,-0.0001
1993-04-28,139.42,139.06,139.42,139.06,-0.0028000000000000004
1993-04-29,139.42,139.06,139.42,139.06,0.0
1993-04-30,139.47,139.1,139.47,139.1,0.0004
1993-05-03,139.56,139.2,139.56,139.2,0.0006
1993-05-04,139.58,139.22,139.58,139.22,0.0001
1993-05-05,139.57,139.22,139.57,139.22,-0.0001
1993-05-06,139.73,139.36,139.73,139.36,0.0011
1993-05-07,139.97,139.57,139.97,139.57,0.0017000000000000001
1993-05-10,140.13,139.76,140.13,139.76,0.0011
1993-05-11,139.76,139.37,139.76,139.37,-0.0026
1993-05-12,139.75,139.38,139.75,139.38,-0.0001
1993-05-13,139.75,139.34,139.75,139.34,0.0
1993-05-14,140.0,139.62,140.0,139.62,0.0018
1993-05-17,139.85,139.47,139.85,139.47,-0.0011
1993-05-18,139.95,139.52,139.95,139.52,0.0007000000000000001
1993-05-19,140.05,139.68,140.05,139.68,0.0007000000000000001
1993-05-20,140.05,139.68,140.05,139.68,0.0
1993-05-21,139.85,139.48,139.85,139.48,-0.0014000000000000002
1993-05-24,139.84,139.47,139.84,139.47,-0.0001
1993-05-25,139.87,139.5,139.87,139.5,0.0002
1993-05-26,139.76,139.38,139.76,139.38,-0.0008
1993-05-27,139.93,139.52,139.93,139.52,0.0012
1993-05-28,139.93,139.52,139.93,139.52,0.0
1993-05-31,140.08,139.66,140.08,139.66,0.0011
1993-06-01,140.23,139.87,140.23,139.87,0.0011
1993-06-02,140.24,139.88,140.24,139.88,0.0001
1993-06-03,140.28,139.9,140.28,139.9,0.0003
1993-06-04,140.56,140.19,140.56,140.19,0.002
1993-06-07,140.67,140.28,140.67,140.28,0.0008
1993-06-08,140.45,140.07,140.45,140.07,-0.0016
1993-06-09,140.38,140.02,140.38,140.02,-0.0005
1993-06-10,140.31,139.95,140.31,139.95,-0.0005
1993-06-11,140.25,139.84,140.25,139.84,-0.0004
1993-06-14,140.34,139.98,140.34,139.98,0.0006
1993-06-15,139.73,139.37,139.73,139.37,-0.0043
1993-06-16,139.45,139.09,139.45,139.09,-0.002
1993-06-17,139.45,139.09,139.45,139.09,0.0
1993-06-18,139.51,139.14,139.51,139.14,0.0004
1993-06-21,139.59,139.21,139.59,139.21,0.0006
1993-06-22,139.46,139.03,139.46,139.03,-0.0009
1993-06-23,139.41,139.05,139.41,139.05,-0.0004
1993-06-24,139.28,138.93,139.28,138.93,-0.0009
1993-06-25,139.46,139.09,139.46,139.09,0.0013
1993-06-28,139.56,139.15,139.56,139.15,0.0007000000000000001
1993-06-29,139.44,139.09,139.44,139.09,-0.0009
1993-06-30,139.39,139.03,139.39,139.03,-0.0004
1993-07-01,139.39,139.03,139.39,139.03,0.0
1993-07-02,139.46,139.09,139.46,139.09,0.0005
1993-07-05,139.64,139.26,139.64,139.26,0.0013
1993-07-06,139.51,139.14,139.51,139.14,-0.0009
1993-07-07,139.6,139.24,139.6,139.24,0.0006
1993-07-08,139.63,139.26,139.63,139.26,0.0002
1993-07-09,139.76,139.4,139.76,139.4,0.0009
1993-07-12,139.94,139.52,139.94,139.52,0.0013
1993-07-13,139.83,139.47,139.83,139.47,-0.0008
1993-07-14,140.07,139.69,140.07,139.69,0.0017000000000000001
1993-07-15,140.18,139.81,140.18,139.81,0.0008
1993-07-16,140.25,139.88,140.25,139.88,0.0005
1993-07-19,140.36,140.0,140.36,140.0,0.0008
1993-07-20,140.32,139.88,140.32,139.88,-0.0003
1993-07-21,140.24,139.88,140.24,139.88,-0.0006
1993-07-22,140.37,139.99,140.37,139.99,0.0009
1993-07-23,140.37,139.99,140.37,139.99,0.0
1993-07-26,140.31,139.95,140.31,139.95,-0.0004
1993-07-27,140.08,139.73,140.08,139.73,-0.0016
1993-07-28,140.01,139.66,140.01,139.66,-0.0005
1993-07-29,139.98,139.62,139.98,139.62,-0.0002
1993-07-30,139.94,139.57,139.94,139.57,-0.0003
1993-08-02,139.93,139.57,139.93,139.57,-0.0001
1993-08-03,139.92,139.55,139.92,139.55,-0.0001
1993-08-04,139.89,139.54,139.89,139.54,-0.0002
1993-08-05,140.12,139.74,140.12,139.74,0.0016
1993-08-06,140.37,139.97,140.37,139.97,0.0018
1993-08-09,140.2,139.81,140.2,139.81,-0.0012
1993-08-10,140.32,139.95,140.32,139.95,0.0009
1993-08-11,140.0,139.64,140.0,139.64,-0.0023
1993-08-12,139.91,139.54,139.91,139.54,-0.0006
1993-08-13,140.01,139.62,140.01,139.62,0.0007000000000000001
1993-08-16,140.14,139.78,140.14,139.78,0.0009
1993-08-17,140.09,139.71,140.09,139.71,-0.0004
1993-08-18,140.21,139.85,140.21,139.85,0.0009
1993-08-19,140.22,139.85,140.22,139.85,0.0001
1993-08-20,140.28,139.92,140.28,139.92,0.0004
1993-08-23,140.09,139.73,140.09,139.73,-0.0014000000000000002
1993-08-24,139.95,139.52,139.95,139.52,-0.001
1993-08-25,139.93,139.49,139.93,139.49,-0.0001
1993-08-26,139.81,139.45,139.81,139.45,-0.0009
1993-08-27,139.83,139.47,139.83,139.47,0.0001
1993-08-30,139.63,139.19,139.63,139.19,-0.0014000000000000002
1993-08-31,139.61,139.16,139.61,139.16,-0.0001
1993-09-01,139.6,139.16,139.6,139.16,-0.0001
1993-09-02,139.48,139.11,139.48,139.11,-0.0009
1993-09-03,139.58,139.23,139.58,139.23,0.0007000000000000001
1993-09-06,139.67,139.3,139.67,139.3,0.0006
1993-09-07,139.5,139.12,139.5,139.12,-0.0012
1993-09-08,139.48,139.12,139.48,139.12,-0.0001
1993-09-09,139.51,139.16,139.51,139.16,0.0002
1993-09-10,139.55,139.19,139.55,139.19,0.0003
1993-09-13,139.76,139.4,139.76,139.4,0.0015
1993-09-14,139.74,139.37,139.74,139.37,-0.0001
1993-09-15,139.74,139.38,139.74,139.38,0.0
1993-09-16,139.88,139.5,139.88,139.5,0.001
1993-09-17,140.12,139.74,140.12,139.74,0.0017000000000000001
1993-09-20,140.07,139.69,140.07,139.69,-0.0004
1993-09-21,139.82,139.45,139.82,139.45,-0.0018
1993-09-22,139.79,139.43,139.79,139.43,-0.0002
1993-09-23,139.77,139.42,139.77,139.42,-0.0001
